,שם עמודה,מספר תווים
54,האם לבן/בת זוג יש הכנסה,1
55,תאריך עליה,8
56,נקודות זיכוי לעולה חדש (קוד),1
57,מס חודשים,2
58,זיכוי מאושר עי פקיד השומה לעולה חדש,1
59,זיכוי משפחה חד הורית,1
60,זיכוי בגין מזונות לילדים (שאינם בחזקת העובד),1
61,מזונות לגרוש/ה (נשוי/נשואה בשנית),1
62, בן/בת זוג צעיר,1
63,זיכוי בגין תואר אקדמי או לימודי מקצוע,1
64,תאריך זכאות לתואר/לקבלת תואר,8
65,מקיים משק בית משותף עם יחיד,1
66,זיכוי בגין קרוב נטול יכולת (על פי אישור פקיד שומה),1
67,תאריך שחרור משירות חובה/לאומי,8
68,תקופת שירות חובה/לאומי,2
69,נקודות זיכוי לחייל משוחרר (קוד),1
70,מספר חודשים בשנת המס לחייל משוחרר,2
71,מס נקודות זיכוי  משוקלל שניתנו במהלך השנה,4
72,סכום נקודות הזיכוי בשקלים,6
73,מספר יחידות מס,3
74,התואר לפיו ניתן הזיכוי,2
75,ילדים שנולדו בשנת המס,2
76,ילדים שימלאו להם 1-5 בשנת המס,2
77,ילדים שימלאו להם 6-12 בשנת המס,2
78,ילדים שימלאו להם 13-17 בשנת המס,2
79,ילדים שימלאו להם 18 בשנת המס,2
80,ילדים להורה אחד (מתוך הילדים שסומנו בשדה 1),2
81,ילדים להורה אחד (מתוך הילדים שסומנו בשדה 2),2
82,ילדים להורה אחד (מתוך הילדים שסומנו בשדה 3),2
83,ילדים להורה אחד (מתוך הילדים שסומנו בשדה 5),2
84,ילדים להורה אחד (מתוך הילדים שסומנו בשדה 6),2
85,משכורת חוק עבודת נשים שבגינה הופקד לקופת גמל לקצבה.,6
86,משכורת המהווה בסיס להפרשה לקצבה .,8
87,סכום הפרשת המעביד לקופג לקצבה מרכיב התגמולים .,6
88,מספר הקופות להם הפריש המעביד לקצבה.,1
89,משכורת חוק עבודת נשים שבגינה הופקד לקרן השתלמות.,6
90,סכום הפרשת העובד לקצבה ,6
91,משכורת המהווה בסיס להפרשה לקרן השתלמות,8
92,סכום הפרשת המעביד לקרן השתלמות,6
93,סכום הפרשת העובד לקרן השתלמות,6
94,משכורת המהווה בסיס להפרשה לביטוח בגין אובדן כושר עבודה,8
95,סכום הפרשת המעביד לביטוח אובדן כושר עבודה,6
96,סכום שנוכה מהעובד לביטוח אובדן כושר עבודה,6
97,שיעור הפרשת המעביד לבטוח אובדן כושר עבודה מעל התקרה,3
98,סכום הפרשת המעביד לקופג לקצבה מרכיב הפיצויים,6
99,סכום הפרשת המעביד לקופג לקצבה – השלמת התחייבות לפיצויים,6
100,אחוז ההנחה לתושב אזור מיוחד,2
101,מספר חודשים לפיהן ניתן הזיכוי לתושב אזור מיוחד,2
102,המשכורת המיוחדת לאנשי כוחות הבטחון שקיבלו זיכוי ממס,8
103,סכום הזיכוי שניתן בגין משכורת מיוחדת לאנשי כוחו הבטחון,8
104,"סכום הזיכוי בגין אחזקת בן משפחה במוסד, שנקבע עי פקיד שומה  (סכום הזיכוי)",6
105,הסכום שתרם העובד למוסדות מאושרים (מעביד שאושר עי מנהל הרשות),8
106,סכום הזיכוי בגין תרומות (לפי אישור פקיד שומה ),6
107,"סכום  זיכוי מיוחד (למעט תרומות או אחזקת קרוב במוסד), שניתן עי פקיד השומה או הנציב",6
108,קוד תקרה לפיה ניתן הזיכוי,2
109,מספר עובד במפעל,9
110,שעור מס מיוחד עי פקיד השומה או עפי תקנות מס הכנסה  שנוכה מהתשלומים שפורטו בשדה 34.,2
111,מס שולי של העובד,2
112,המעביד ערך את תאום המס של העובד,1
113,סהכ מס הכנסה שנוכה,9
114,מס יסף – מס הכנסות גבוהות,6
115,ניכוי דמי טיפול ארגוני,5
116,קוד הענף שבו מועסק העובד הזר,2
117,"קוד זיהוי לעובד חבר קיבוץ, מושב שיתופי",1
118,אחוז פטור שחושב לקצבה ניתן על פי,1
119,אחוז פטור שחושב לקצבה,3
120,סכום ההטבה להקטנת עלויות השכר לפי חוק אזור סחר חופשי  אילת,8
121,ציין האם העובד בעל שליטה או קרוב על פי חוק אזור סחר חופשי  אילת,1
122,תשלומים פטורים ממס מעסיקים,9
123,תשלומים פטורים ממס שכר,9
124,סכום התמורה,6
125,תאריך היוון,8
126,מספר שנים לגביהן בוצע ההיוון,2
127,קצבה מלאה לפני ההיוון,7
128,אישור עבודה לעובד זר,1
129,האם העובד מילא טופס 101 אלקטרוני,1
130,תשלומים פטורים מדמי בטוח לאומי (שאינם נכללים בטופס 102),8
131,דמי בטוח לאומי לא כולל מס בריאות המנוכים מהעובד,8
132,דמי בטוח בריאות המנוכים מהעובד,8
133,תשלומים החייבים בדמי בטוח לאומי עד למקסימום שפורסם,8
134,תשלומים פטורים מדמי בטוח לאומי מעל לתקרה שפורסמה,8
135,מקור תשלום אובדן כושר עבודה,1
136,סוג הקצבה המשולמת,1
137,סוג המעסיק לעניין הביטוח הלאומי,1
138,בעל שליטה לעניין המוסד לביטוח לאומי ,4
139,FILLER ,1
140,סכום הפרשת מעביד לביל,6
141,מספר תיק ניכויים של בל,11
142,ברוטו הפרשים שנים קודמות ,8
143,שנת שיוך לתשלום הפרשים משדה 133ב,4
144,שכר נוסף,8
145,משכורת בסיסית לעובד ישראלי בחול,8
146,הוצאות דיור לעובד ישראלי בחול,7
147,הוצאות רפואיות בחול,7
148,הוצאות שכר לימוד בחול,7
149,הוצאות אשל בחול במדינת השרות,7
150,הוצאות אשל בחול מחוץ למדינת השרות,7
151,הוצאות ביקור מולדת,7
152,מספר מפעל,5
